country_name,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mexico,107,-491,204,226,-339,393,750,"1,652","1,926","2,321","1,320","2,516","4,457","2,983","2,405","5,596","4,593","8,164","4,203","14,226","7,656","3,664","8,435","9,596","9,444","9,798","4,521","7,100",825,"7,840","11,635","6,078","5,856","6,886","5,234"
Panama,400,514,-120,-56,259,937,125,-430,612,527,677,668,773,781,920,354,682,"2,571","1,328",808,530,353,-71,106,214,"1,218",845,809,-759,119,-31,-223,-178,-201,580
Other,-36,-43,18,-18,16,47,32,21,15,-34,8,51,-3,-19,48,116,331,308,114,-493,258,17,26,99,-114,"2,549","2,541",350,115,121,-21,234,15,-264,118
Other Western Hemisphere,"-6,959","-2,043",390,"4,685","6,141","6,029","4,458","4,392","5,580","1,541","6,924","8,179","3,598",245,"6,371","3,463","3,684","21,838","8,959","8,451","10,294",-757,"19,120","-14,145","18,099","28,762","43,354","42,845","28,739","43,606","41,084","38,745","41,788","37,554","23,305"
Bahamas,-104,604,253,-54,-819,-120,470,-61,-32,-225,510,508,52,-537,-55,-323,-826,,,,,,,,,,,,,,,,,,
Barbados,4,6,-8,59,74,8,134,-37,111,41,156,132,65,248,164,-39,115,"1,476",-813,903,-563,-522,"1,526",266,503,"-3,595","1,047","1,037","1,747","4,664","3,340","1,535","1,048",808,"6,358"
Bermuda,945,-62,"1,178",325,"1,338","2,795",621,-502,"1,431","2,797","2,828","3,995",897,275,"3,170",589,"2,358","6,871","9,363","7,007","4,313","-3,778","4,365","-1,000","19,944","14,785","7,824","29,149","12,976","21,072","11,991","17,804","17,171","16,917","12,232"
Dominican Republic,28,60,10,20,-5,-82,16,(D),(D),143,131,217,-15,69,66,91,75,125,175,217,-3,-99,24,-175,-4,22,-124,124,252,103,133,117,53,141,-208
Jamaica,-24,-83,-57,-127,-27,-23,14,277,283,144,137,173,210,116,292,264,215,,,,,,,,,,,,,,,,,,
Netherlands Antilles,"-8,620","-3,030","-1,931","3,882","5,191","3,114","3,526","3,814","3,885",-695,"3,572","2,334","1,112",43,751,"-1,176",-116,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,97,-73,-202,-121,-88,-28,-18,(D),(D),-2,55,122,77,151,50,-214,395, ,,,,,,,,,,,,,,,,,
"United Kingdom Islands, Caribbean",595,648,"1,149",697,456,342,-291,817,-363,-551,-87,125,"1,386",50,"1,847","4,062","1,571","11,264",989,"-1,129","6,146","3,314","10,131","-12,586","-6,374","12,640","25,914","7,746","10,926","11,588","25,339","17,312","21,754","23,526","3,992"
Other,119,-113,-2,3,20,23,-13,-116,145,-110,-377,573,-186,-170,86,211,-104,"2,100",-754,"1,452",401,328,"3,075",-651,"4,029","4,910","8,693","4,788","2,838","6,179",281,"1,978","1,763","-3,840",931
Africa,672,34,432,-72,-167,155,-607,-554,-450,75,-84,837,762,352,"1,678","3,436","3,075",596,716,"2,438",-578,"2,697","1,611","2,564","5,157","4,490","3,837","10,417","7,442","5,340","2,624","1,516","1,802",308,-547
Egypt,139,193,114,372,-94,-151,-102,42,-292,-28,65,-32,46,-1,118,259,575,-190,-99,578,127,470,447,"1,112",54,996,"1,617","1,512","1,919","2,331","2,250","1,739","2,128",327,-147
Nigeria,355,-149,118,-339,563,239,-57,-214,-423,887,-271,187,119,61,407,375,403,-524,137,-192,588,173,676,-846,144,-596,"1,772","5,170",81,157,-221,-430,"-1,260","1,025",-638
South Africa,85,-18,36,-81,-18,-97,-142,-375,78,110,118,72,260,289,194,"1,298",-83,"1,155",346,-86,125,232,480,82,159,"1,000",306,"1,088",447,639,332,521,-50,-176,-411
Other,93,8,163,-25,-619,164,-306,-7,186,-894,4,610,337,3,959,"1,504","2,181",155,333,"2,139","-1,418","1,823",8,"2,216","4,800","3,090",142,"2,646","4,995","2,213",264,-314,984,-867,649
Middle East,195,"1,305",518,-81,66,157,-321,-473,515,521,845,775,709,879,467,619,"2,092","1,000","1,375","1,397","2,559","1,315","2,538","3,785","5,699","4,070","3,716","4,025",-305,771,"7,942","4,009","7,108","1,927",-154
Israel,-102,69,123,121,-108,162,56,-33,-163,94,510,260,298,340,264,25,"1,236","1,442",467,"1,000",202,"1,263",531,"3,058","2,416",554,536,-166,185,-253,828,184,207,742,659
Saudi Arabia,-89,"1,025",172,43,6,98,-406,56,494,224,45,254,83,640,-206,332,858,-320,395,-319,"1,505","-1,245","-1,007",-209,768,560,341,"2,636",-66,807,"1,690",635,252,"1,244",596
United Arab Emirates,104,196,280,-192,89,-74,26,-99,14,24,73,84,-60,164,103,55,127,-127,94,98,400,186,"1,345",-64,"1,322",255,286,326,168,751,"2,044","2,055","5,607",-431,"-2,518"
Other,280,15,-56,-53,79,-28,2,-399,170,180,217,177,388,-266,305,208,-129,4,418,618,452,"1,111","1,669","1,001","1,193","2,701","2,554","1,229",-592,-533,"3,380","1,135","1,042",371,"1,109"
Asia and Pacific,"2,362","2,857","2,097","1,161","1,687","3,537","2,703","4,375","6,783","3,854","7,391","8,895","13,437","14,342","15,363","13,733","14,715","30,831","22,449","12,927","23,277","16,592","97,013","24,426","31,556","67,500","46,821","30,635","34,895","35,564","47,491","66,590","53,764","38,783","47,931"
